,board_PMMY8,board_J8KGR,board_9DLD4,board_DVO7K,board_0SPP5,board_S6PSU,board_7H31Q,board_BKNKC,board_1PAIL,board_6GFZE,board_S9H7R,board_8PLUM,board_2BVVC,board_3L1VZ,board_KEKWR,board_4VRAT,board_G6I4H,board_06W2Y,board_0FXIN,board_9FU2B,board_Y0TI1,board_MYBTE,board_C4ZUT,board_ZT4LG,board_WWZBL,board_4M4SX,board_J2S4U,board_PVWQM,board_FQ2QX,board_N9AIT,board_GJ2C2,board_4OUHC,board_MX1I3,board_33MVH,board_7AX3T,board_FA8OY,board_PLSEO,board_58MY8,board_175XC,board_J2PAI,board_IRPBX,board_9MY01,board_J239W,board_RA8BI,board_QG30R,board_DKBWB,board_2YRW7,board_Z3J4L,board_HUY4G,board_MLTCS,board_KJ2JD,board_QNKZQ,board_6OTTK,board_XNF52,board_7CEMF,board_AIDEH,board_YOTR2,board_WC2F5,board_YZPKF,board_MUY7A,board_L5QQO,board_FQT0S,board_VMLZR,board_YV8SU,board_UJ336,board_5VVIZ,board_IEZ7V,board_IZLVC,board_IMV22,board_ABDT7,board_MJUKQ,board_6V1X7,board_KY5LZ,board_O8XEE,board_2ORE6,board_US5RO,board_3KLQX,board_EHEGG,board_4YA7I,board_IV8Q7,board_A4OT3,board_KAXVZ,board_52H1V,board_MK8V8,board_UAC99,board_3DIVI,board_E8NFP,board_2G1WV,board_AL5JB,board_UEZST,board_IDSDL,board_623VM,board_2GIDI,board_V48AM,board_GOWER,board_D1W3J,board_GY15A,board_K9VSP,board_ET2E2,board_2OHWK
100.0,-49.322824284665636,-50.26126622306136,-50.75328666519378,-49.14673950583981,-51.340659494247525,-51.99045227827217,-49.88743631483991,-50.81648539096224,-51.023287917675376,-51.63462226786804,-48.81209479464551,-50.96621642806241,-49.42300867017964,-51.41224267066563,-48.835312623331205,-46.90155540892972,-49.68332626392354,-49.39978050838488,-49.53230290009586,-50.207909724367205,-49.39151618400522,-48.95754425883438,-51.29626576315012,-49.30648752683744,-48.35646029930589,-49.648183505738714,-49.16919728874978,-50.19845946861623,-47.73924254537457,-50.39027624295311,-48.47220833275475,-49.15417001412561,-51.256358455445046,-48.90286837938618,-50.75629404135406,-49.53676580029239,-48.80836230113077,-50.177923241337,-51.01860069783045,-49.94856609724053,-50.94250779632029,-49.743243620096166,-49.12048164545319,-49.6091832870376,-49.157318648140176,-50.015146623648754,-49.85156658559335,-49.69283405035816,-49.87098260726375,-51.00029102246482,-49.34972259482108,-49.9647872906718,-48.32172435660631,-50.516304401642486,-49.671800702735446,-49.13322456988793,-50.2179613742809,-49.967024802727124,-48.96456015619092,-50.421076429137635,-50.80973059723222,-49.81324466900431,-50.535718185145655,-51.2159142364168,-48.50411950627697,-51.2176341520551,-49.440852025708004,-49.83567572578289,-48.908263921511754,-51.65081799859727,-48.43247299732854,-50.68183964286603,-49.56958529294975,-50.3285732215508,-47.14362622439328,-48.787943634548604,-50.77178251717229,-51.21107462788616,-49.70761321097873,-50.611049139228676,-50.01756588670204,-48.99337742621178,-49.67645400199143,-50.40334650886392,-49.578235876118114,-50.09098952692331,-49.858367977717926,-49.99517569121498,-47.54878173857149,-50.09784080264984,-50.74969360414626,-49.88354986303513,-49.86397988888233,-50.046827537613275,-49.351651533293925,-49.6650294947692,-50.76828226014889,-48.45847351617531,-50.00547652911005,-49.92875686312625
104.04040404040404,-51.58579965977394,-49.399237874981594,-49.71858426925545,-50.6080391840162,-49.57506351737383,-49.83169395064242,-51.298345978715936,-50.87921862419745,-50.52486757883133,-50.70936274143198,-49.259847252115755,-50.320331151086336,-50.88571177565637,-49.98053774310808,-49.873224385533774,-48.60672390589074,-49.95204057583987,-51.978522857555944,-50.18980811699021,-51.3330014752557,-49.221800869193096,-50.64938189564054,-48.64213718572668,-50.93377716651714,-50.77657902261664,-48.45448366245549,-50.38312319116309,-50.82570560569797,-49.66721840255428,-49.55400769423688,-48.858119251787215,-49.84642363934848,-49.32986777882212,-51.526338675633426,-49.15487279648076,-50.61146663140837,-49.588724587805785,-48.93152413301186,-48.26719961181412,-50.12676340972834,-50.85507987395245,-50.55279998859151,-49.096812271873155,-48.94553893665299,-47.520597545139,-50.19038373395433,-47.8545261521784,-49.21524367353913,-49.77810387641304,-51.8964962692684,-49.52183096370598,-49.65777914370131,-49.13646462203682,-49.98556135483714,-48.775345226190765,-49.414738997900656,-50.33467495288695,-49.89377211206692,-50.916733477671414,-51.79700530131033,-49.556217176358345,-49.073978454430765,-50.810877155200984,-50.284453945588865,-50.2842876861414,-49.158239299210734,-49.341576904388134,-49.85285540107572,-50.81903884257225,-50.04671652585693,-49.801909364227065,-50.29928748491873,-49.591840277342754,-50.65124740516706,-49.65498678289662,-50.586804283314386,-48.771939061946114,-50.58498051197171,-48.14939184090738,-49.186347921202476,-50.09500889904788,-51.46463640035279,-48.843057182847836,-52.416602346197514,-49.8961005775694,-49.599623503357655,-50.24588893223723,-49.63303064232376,-51.06217663799797,-50.9775103893493,-51.096516858666845,-52.79911812142552,-49.66691142312447,-49.932820595069465,-50.68514270969525,-50.100994833131566,-49.89462861423078,-50.45095128193848,-52.45140464165969,-50.87721202861215
108.08080808080808,-49.038105714135895,-49.349944320342395,-49.81141163017714,-51.87496360844198,-49.694045396683656,-49.9434194219381,-49.67276759130596,-49.53059145110258,-50.452484093048824,-49.552050174480605,-50.40027974968863,-49.9889385279797,-50.34017667813367,-48.912167683834,-49.231553994530074,-50.246481244521185,-50.639567143143985,-50.27992754053836,-46.92428927834101,-49.88088993462557,-49.32367151833424,-50.82325162092621,-48.403322931222625,-48.59559912168929,-52.55808799460201,-49.56573931170048,-48.05291173786178,-49.170019192191525,-49.34966732388281,-49.085064295920574,-51.30857681133106,-50.176828877722464,-51.74445542978859,-51.884455238367224,-50.47359631308201,-50.224516188518095,-50.75390662584847,-51.168323274484756,-50.5512313438756,-49.468909662370265,-50.001972781475445,-51.74677831621877,-48.745558181179305,-48.6266749966084,-50.37214493545769,-48.82594228738243,-49.73582585643292,-50.640185756679486,-49.50249994266109,-49.71488470040412,-49.60473238065222,-49.087182305933766,-50.856024022231566,-49.97345514367889,-49.08568399374573,-48.82683651539159,-50.12937308933372,-49.43478556809074,-49.26948004801643,-49.73373175929091,-48.88195188673342,-50.85938798584017,-49.460190021360994,-49.65076134944433,-50.13087450744003,-49.985443500544555,-50.41378628895638,-48.81632875109819,-50.897405029471464,-51.1365281128756,-49.80351121247414,-49.60000248668496,-47.80828571500986,-49.01410552909421,-49.002053335216445,-48.9934441218247,-51.55071507523276,-49.950128571118455,-50.57158852155783,-50.25035306617399,-48.804331293783406,-48.16402062055465,-50.47078097231262,-49.85077152889639,-49.007831388178346,-50.90062791997026,-48.79558631087884,-49.114957568883334,-50.12490103268732,-50.53807289359741,-48.871741804148606,-48.181188933456724,-51.57056872827221,-50.09605811258825,-52.164784428725916,-50.60046294621234,-50.72798926077125,-47.95355097248836,-48.523732038496014,-50.25649660686213
112.12121212121212,-49.826494169167304,-49.31890564858821,-48.84883396658768,-50.49922907264019,-48.79066377175499,-48.20190053231607,-51.6761423058348,-49.319468975224666,-50.903760410362054,-50.247326738502785,-51.76163184825664,-52.0200363206643,-50.020748899354814,-48.17610880625719,-48.93966844582524,-50.06108511351998,-50.138275692852176,-51.55181565004363,-51.4337066385929,-50.757438061854266,-49.34634258413272,-47.187804848812235,-50.222580667112474,-50.980409925896495,-51.695519743948005,-50.52650640072738,-50.291297442200126,-50.005906414541094,-48.464171848660904,-47.197076655607475,-48.695775918880315,-51.04837028319655,-51.43798164660712,-49.673451117586794,-49.72074861247163,-49.003553241577066,-52.6031785624355,-50.69397451088781,-49.90711406887683,-50.50220633364484,-50.54163663912045,-50.517600208607924,-48.81380968364671,-49.05513489567413,-49.89793013994538,-53.50603343591592,-50.58401496651207,-50.100337892054895,-50.68048087598532,-49.47061978871516,-50.60008687399609,-50.13676607039073,-51.23352638683045,-47.87451673948822,-49.823483760104835,-50.26459885674431,-50.64758937287708,-51.02493931740559,-51.44228264804515,-51.394150276449714,-49.06005307977135,-50.338312643411925,-49.10343383264906,-49.04600722900721,-50.36579717422943,-50.483552490133626,-49.224691130029505,-50.77951808456629,-50.24990965220308,-49.341306017994285,-50.03222514066076,-49.04596146986614,-49.53597045396692,-50.33884130856918,-50.3514279380999,-50.11981574662605,-49.4773433941415,-49.591921507474204,-50.80849858718991,-50.15931981336133,-49.693352203197854,-50.72727466241057,-50.16237164816446,-49.33820625215669,-51.27164848760825,-48.58886254828942,-50.34880344626902,-51.008504983101645,-50.899239984629766,-50.47049852105166,-50.76657214442124,-50.41004669140471,-50.187296270544536,-50.414718290116184,-51.15457075698681,-49.42494056892632,-51.190555600681776,-49.61049165592263,-49.54469883128614,-51.46933055930718
116.16161616161617,-50.955934984903145,-50.943280034057025,-50.269350390322316,-51.30889481543298,-49.01338091964387,-50.83457878458005,-47.187157088112855,-50.26467224577096,-49.345576952065954,-51.155297529511365,-50.09403093215368,-48.91439747457158,-49.10933264763997,-49.723376646081434,-50.67975325505113,-48.88074099940786,-48.92973181296762,-48.998744490465114,-50.7003444572306,-49.535988555891926,-50.79767350584334,-49.316860768558364,-49.18312630762979,-49.549890846410186,-47.95995544566427,-50.80846824899911,-49.95281787649834,-49.58005131740315,-50.246295346262905,-49.28607822654955,-50.434493355219864,-49.50589635012808,-50.25002045166704,-48.738693542701114,-49.765008044810415,-51.27729154252771,-50.399559257068326,-48.67896647864309,-48.99872039646804,-50.69619172730825,-49.23261780934351,-47.838730761298635,-49.706174218176265,-49.238187686019494,-49.89863127046475,-51.18391152516258,-49.142743336236485,-48.01127581108728,-49.14281292265318,-49.851405654489305,-51.273861322905,-47.35274883811551,-48.66074129666003,-49.86525770184768,-50.85874628200481,-50.25958049540415,-48.850335693570244,-51.791117519613735,-48.68677726185166,-49.58751990788339,-49.16194367123593,-50.71233358382273,-50.542219636302896,-49.07328025027661,-49.97188800194226,-52.018609124820195,-48.84866847066594,-49.81500927741381,-49.50254968580674,-52.119394195410635,-50.62684365388422,-51.53738925376328,-48.31418518024661,-48.73671135609387,-51.31089782504353,-48.97867644026564,-50.169728594708246,-50.23136123831908,-49.70113037916167,-48.6929646604249,-49.12287109946672,-50.408421225852244,-48.685113809699956,-50.138980070330106,-49.473456434812256,-50.455258765450615,-51.17375561511052,-50.8958848377899,-49.48588523743501,-48.10060388772853,-49.79881041922562,-50.72501499959458,-51.06951967507364,-50.55679549235878,-50.33597557727501,-50.883923157207555,-51.34129957910708,-49.34301278611808,-52.94418032982833,-48.88252199316174
120.20202020202021,-49.852239585388176,-50.03379750804374,-51.43157534584588,-47.975653312560084,-49.75372637024669,-50.39535183068475,-49.320020963405916,-50.215600910793626,-50.444359180281474,-49.882789653455035,-50.4856227908399,-51.354513684831566,-51.576631228742215,-50.36604060214654,-49.028715296573154,-50.332173936039005,-51.83297214997247,-50.0073097473432,-50.3252810950496,-50.890104960096174,-51.82824962976196,-48.912474546243,-50.317327879311485,-50.846882944058024,-50.233573427000074,-50.09666705975944,-49.91671895064102,-49.24930561174741,-50.42629478569056,-49.14300184702828,-49.75927274186314,-50.71328122496197,-50.50385542314919,-50.42924449332565,-50.659465638452374,-50.39690218583067,-50.87166265135723,-48.57639218871997,-48.398471571409225,-50.2043025584524,-51.842894912840165,-50.69010037212215,-50.417239330959355,-48.20085043916449,-50.624122030260686,-50.86190529371734,-50.768418906904905,-51.001023254713594,-49.948235776267225,-49.38362707214049,-51.230953804720286,-51.34716169304266,-49.018993093023994,-48.50545734859596,-49.73929483902269,-50.29473526690481,-48.713645609455384,-48.87833135242905,-49.07899518357677,-50.50152760940508,-49.0433676476163,-51.6711334756359,-50.74630457167877,-50.42557928317158,-49.94446084496744,-50.83476383184975,-51.52933715140625,-51.23295231748426,-50.12415077734674,-49.62530959077648,-51.0770230534727,-50.49814556351226,-50.12914575607634,-52.009759215406724,-49.74954552643386,-49.363466539589396,-52.122642049991306,-49.3621212715333,-49.843424433608,-48.54214962092857,-50.95894086088462,-50.77964406280612,-49.212096818976576,-49.00562390580197,-50.30912634743468,-50.250293921922925,-49.09473011435641,-49.06310728376719,-50.099576970122996,-49.55111784911464,-52.231149185756365,-48.44513492580655,-48.73705595671923,-50.46569368537593,-51.755911417669864,-49.66811993454505,-49.438796751017684,-48.55930322801883,-50.10953971110389,-50.78321743972005
124.24242424242425,-50.06062609997221,-50.7965218415908,-51.8481497220922,-49.385023274966954,-49.93623233393252,-49.66512006755764,-49.72599793762752,-50.615197777843704,-50.221922530914604,-49.75609335718238,-48.82261295090705,-50.742432890688605,-48.60670103344039,-49.744608229555844,-48.99673203607931,-50.197549019983185,-50.39454747911469,-50.84964145568291,-50.53717493314948,-52.6764088638441,-49.401533550891905,-49.25381777775642,-49.83961662786418,-48.65522792170446,-50.70007279503958,-50.74621874745599,-50.11472676774062,-50.82962533001286,-50.76016573327312,-48.05163305861848,-49.62475709906545,-48.846103193696166,-49.9288605310942,-51.08354718545316,-50.32480635280991,-49.42492298403638,-49.88273744377418,-49.775472975824044,-48.39395364978647,-48.42444233092733,-51.21308028297349,-48.848937000364714,-50.949399301711004,-49.82783535671451,-49.59717716859673,-49.632141667714905,-51.92128567152593,-50.799395825040854,-48.7878653008628,-49.52350259471501,-49.417991007505805,-51.22074831455857,-48.85124052445522,-49.39666463534415,-49.82539777342461,-50.70733703440803,-48.06689409207083,-49.303899382542916,-50.69162513243527,-50.57598503846166,-49.750751693033614,-49.24266570853105,-50.255270903294004,-49.81162257971949,-50.53434049950718,-50.776845310136686,-47.83388139254214,-49.09293905896658,-49.94481291011363,-50.84366239931639,-50.3533567983314,-49.78470117599799,-50.625830513430806,-50.270734415630216,-51.36148545370647,-50.8255572145418,-50.70903630902878,-49.75056348097621,-49.37043535179137,-49.01415637200195,-48.990123171829815,-48.984372480343765,-50.22800257939222,-50.44319746320619,-50.61833358992526,-49.95514344262632,-50.56907572855124,-49.963515003016425,-52.79755073618632,-51.17536978720569,-50.105577608407,-48.061950418862054,-50.87819397021685,-50.101471100062014,-50.59949869441906,-48.976406797338015,-51.16826114386928,-50.46489268618256,-51.70101457666184,-51.86805859762943
128.2828282828283,-50.78212589534514,-50.701817830331,-50.91931203721124,-50.03985330405929,-49.16997238529958,-50.43693227784403,-49.9255780800354,-49.49801764932865,-50.34207998332411,-51.59397736449139,-49.612737371140604,-50.820599280753704,-48.38054424926934,-51.94650911811787,-49.405512357098644,-50.94826965132782,-50.83676876417476,-49.93229305825552,-50.12872978756139,-49.27184765465399,-51.33163459802292,-49.96901762399779,-51.086288232714445,-50.07459134063413,-49.61250128437773,-49.60276504225519,-50.04711025652454,-50.45524459774162,-50.39667881802043,-49.447339932046845,-49.19986583966485,-47.341019730624325,-51.06707952259152,-51.01935992974904,-48.585011938068654,-49.70539093689964,-49.51206496325021,-51.13758619528773,-48.71314794630092,-49.34972865547521,-51.130958040547974,-48.7602753171404,-48.720751339223106,-50.036219574639844,-51.815360234604526,-52.69954519194984,-51.851415692418676,-50.82054623395578,-48.293176598349184,-50.5915768259385,-49.587157350009505,-49.80925869618837,-50.587070286346744,-50.70656097912688,-48.433455694630574,-50.439246746635234,-50.05646418530177,-48.69105046801679,-49.71664794177987,-48.614840879512,-50.85511116423983,-52.331009425829556,-50.92746614764439,-49.5729285326619,-49.349424311553236,-50.69125695138662,-49.80050949807676,-50.77935818765444,-50.73506288721018,-51.72335668442179,-50.730167008460604,-50.757643301779595,-50.953646220652885,-49.65022812079952,-48.95886175483578,-48.33603775961862,-48.945795700442055,-49.65767318513866,-49.391135684676094,-51.14228269829028,-49.46102946927048,-50.039539455080224,-49.09926815613355,-48.81342303426718,-50.29166388572614,-49.957676144189364,-48.45545308638437,-49.75740375807869,-50.87064544525452,-49.20469742696508,-49.29366779149492,-49.731492271136446,-50.93595777612314,-49.15889437491928,-49.65510392444149,-50.32085757055975,-49.835099536269055,-49.10734520346272,-49.32630299321278,-48.83794906645019
132.32323232323233,-51.12338305881632,-49.864587162682795,-49.44602982171096,-50.127755822450034,-50.22943150210091,-51.59696751771967,-52.462511724483626,-51.14461374078878,-48.91465629223193,-49.454603645796915,-49.51491197525677,-52.45125649777946,-51.373631643197044,-48.77212785526809,-49.27737961008819,-48.945863724094075,-50.8376073498438,-50.21096346957808,-47.922287590918074,-50.80810812379347,-49.1287214769041,-50.01849186431164,-51.97604376696028,-48.72816626434853,-49.5995573711902,-52.014979456605765,-48.29608094312793,-50.89506388780004,-51.466313456016124,-49.62990039846202,-48.82277070198021,-47.14755001823131,-49.99534044034287,-50.27739453019756,-51.07097373003584,-48.54461612699901,-51.09284040110126,-51.43185366646565,-49.1026190854042,-49.30603597997325,-49.409648344534276,-49.05252405676804,-50.2519041339999,-50.78942388835305,-51.15865523196103,-49.70975464500251,-48.33256832682219,-49.24299992970096,-49.91057587460153,-50.93628576862895,-51.14597959772008,-49.95079827986947,-50.46133311794909,-48.503046768618574,-49.222607894783856,-51.26358318084414,-49.99211983572379,-51.213631256755114,-50.20040614615337,-52.4528050090712,-47.8396074217469,-50.91853019428636,-51.07006454303756,-49.4617423052746,-50.111990509056575,-49.898878731869345,-49.68747578377652,-49.686363897416626,-48.803014475509976,-49.53559723108743,-51.373260931046005,-48.72599639572381,-50.03570527998746,-51.07169245435102,-49.92809136597197,-49.481010206150906,-52.00307696748613,-49.618347990909875,-49.9973548030065,-47.6316707325223,-49.22532973700464,-50.992580839282915,-49.73443450496183,-48.834029071461984,-50.06300664656585,-48.25555434398614,-47.54131374262846,-51.46037779050268,-48.82299436869121,-50.562467221495574,-52.18357033516603,-49.50459920820085,-49.07427227106125,-50.35292509818427,-49.10262863695733,-51.386915037286656,-48.56787379334667,-52.14366867143681,-49.563911921757054,-51.03784887191386
136.36363636363637,-49.97003066035921,-51.349746610109534,-51.00289844402981,-48.352957982534875,-48.51149940736454,-51.90729985621435,-49.24875930272994,-49.7658651516757,-51.774246259747066,-51.3816118437526,-50.87275361289195,-50.35073032738472,-50.05986278293366,-49.924762370717275,-47.495830026595236,-49.00080857269155,-49.3173444944873,-50.398354556794686,-50.987098690591715,-51.687171164080546,-50.618837984986975,-51.471750767396735,-49.84087943717375,-49.44058037835868,-50.509634506138184,-49.596345710221726,-50.3591812835549,-48.49780228389106,-50.469130231542195,-48.795606651749246,-49.95595097951871,-49.4926433528485,-49.795155580259156,-49.47445612551242,-51.16851799944642,-50.59934514300032,-50.73155936019409,-49.415058921084146,-50.695686418476484,-49.331415519758764,-49.70548984757476,-50.22628905433546,-49.44457067515712,-50.4910853790819,-48.474585810603024,-49.92996590459233,-48.83932028292121,-48.34332471938733,-49.754660520386714,-48.35839229282554,-49.314633537796496,-49.731392888769314,-49.473797861175115,-51.734438489669664,-49.36842127408053,-48.524245900817995,-50.49785072007329,-49.217410261820184,-52.09798444723544,-52.541806248007205,-50.29564116159994,-48.977889931843144,-49.67030656396333,-49.285976395672826,-49.11907138522753,-50.13881383745686,-50.11893168669068,-49.60693047255422,-49.740954594329075,-48.712719890510684,-49.28023063558102,-49.86577099335813,-51.730633068311356,-50.44765724095375,-49.64203481833885,-49.735409076604796,-50.520098055304665,-50.021884742638825,-49.468380105051196,-50.41753605243904,-50.48256161669294,-48.68215468111326,-49.97166415442126,-49.00557164760975,-50.300289097892716,-49.45498663705499,-49.32339297350309,-49.9976717995813,-51.250178660197825,-48.996976109664594,-52.1671432534435,-49.73683805187217,-49.411417102142835,-51.45946799464183,-49.72422401191941,-51.45617265102664,-49.052821452068024,-50.53608703605611,-49.39965061897881,-49.569205625828396
